staff_id,name,role,specialty,phone,hire_date
1,Bradley Brown,Nurse,,+1-656-647-1226x273,2021-12-16
2,Tammy Wright,Admin,,001-207-523-9645,2021-02-16
3,Michael Lee,Lab Technician,,265-976-0046,2017-07-02
4,Sarah Hughes,Lab Technician,,425-711-6842x94924,2017-03-15
5,William Hardin,Admin,,(287)594-8670,2022-04-10
6,Sean White,Pharmacist,,+1-996-606-1789x777,2019-06-11
7,Cheryl Davis,Doctor,Neurology,3549572164,2025-01-27
8,Mark Peters,Doctor,Cardiology,(795)719-5511x1759,2020-02-26
9,Brenda Gonzalez,Nurse,,(432)361-3433,2016-10-02
10,Alyssa Lawson,Lab Technician,,717-434-6528x7433,2022-09-13
11,Sue Hutchinson,Pharmacist,,+1-217-822-2207,2025-06-18
12,Mary Cole,Nurse,,372.249.2542x302,2017-06-11
13,Joshua Underwood,Doctor,Orthopedics,+1-956-944-3894,2019-02-10
14,Bruce Larson,Lab Technician,,(923)331-0080x500,2019-02-07
15,Angela Swanson,Nurse,,774.568.6393x77888,2018-09-04
16,Kyle Sullivan,Lab Technician,,770-573-6051x2574,2022-01-28
17,Crystal Hughes,Pharmacist,,(906)761-6679,2017-01-02
18,William Gamble,Pharmacist,,(969)725-0520x1752,2021-07-02
19,Mrs. Caitlyn Burgess,Pharmacist,,403-521-5105,2025-09-10
20,Heather Garcia,Admin,,+1-538-393-2333x0593,2016-02-28
21,Allen Kelly,Admin,,+1-500-455-0087x095,2016-07-01
22,Sarah Burke,Doctor,Orthopedics,239.807.9984x5734,2020-12-12
23,Stacy Brown,Pharmacist,,735.770.9316x4186,2019-11-09
24,Michelle Baker,Nurse,,2448115942,2019-10-10
25,Nicole Velez,Doctor,Pediatrics,(330)358-3529x62672,2016-06-11
26,Henry Howard,Lab Technician,,637.417.4904x084,2023-05-30
27,Misty Harvey,Pharmacist,,419-850-6585x20724,2025-07-02
28,Mary Miranda,Nurse,,(774)911-4181,2023-12-12
29,Scott Powell,Lab Technician,,(401)757-6909x45608,2024-02-08
30,Vincent Mcclain,Admin,,001-345-715-6654x1350,2024-12-20
31,Daniel Lowery,Pharmacist,,(623)245-1972x7055,2020-05-26
32,Carlos Perez,Doctor,Orthopedics,8392298658,2024-01-09
33,Adam Cain,Pharmacist,,741.255.0497,2018-01-26
34,Jesus Shepherd,Admin,,+1-592-881-9362x666,2023-10-09
35,Heather Clarke,Nurse,,746-990-0905x480,2019-09-28
36,Robert Wong,Nurse,,921-865-4831,2016-09-04
37,David Larson,Nurse,,(814)201-7053,2022-11-01
38,Dawn Simpson,Lab Technician,,648-964-2794x4402,2017-09-26
39,William Sherman,Nurse,,971.797.9530x6792,2017-10-11
40,Samantha Williams,Lab Technician,,949-749-7719x933,2024-12-12
41,Steven Perkins,Admin,,+1-723-408-8567x816,2025-01-17
42,Christopher Johnson,Pharmacist,,001-630-221-2390x970,2021-12-26
43,Sarah Osborne,Lab Technician,,306.321.9423x2646,2020-06-05
44,Jared Cooley,Admin,,243.919.5896x62891,2023-09-18
45,Matthew Odonnell,Lab Technician,,4132093493,2020-02-04
46,Becky Robinson,Admin,,578-552-7392x86237,2016-03-01
47,Shannon Hernandez,Nurse,,542.211.4667,2017-10-30
48,Rita Becker,Nurse,,476-748-1421x6923,2025-01-02
49,Joseph Shaffer,Admin,,401-557-0370x04366,2026-01-18
50,Douglas Bradley,Doctor,Oncology,288-464-6400,2018-07-25
51,Taylor Ray,Admin,,001-299-430-6064x90761,2025-12-14
52,Crystal Evans,Pharmacist,,(754)456-9016x072,2025-12-29
53,Ricky Walker,Doctor,Pediatrics,(313)537-3483x91328,2017-09-10
54,Dr. Lisa Le,Doctor,Gynecology,484.422.8836,2025-02-05
55,Gregory Blackwell,Admin,,8893919650,2025-11-16
56,Kevin Henderson,Admin,,+1-339-485-3392x34511,2021-07-06
57,Aaron Durham,Nurse,,661-625-1960,2019-06-28
58,Nicole Brandt,Nurse,,6789096969,2017-10-30
59,Natalie Walsh,Pharmacist,,(578)870-1261x8289,2016-08-12
60,Jessica Wright,Admin,,001-673-859-8441x444,2018-11-08
61,Sydney Leonard,Lab Technician,,837-760-2242x3782,2017-05-06
62,Lindsay Davis,Doctor,Gynecology,559.524.0194,2023-01-13
63,Steven Roberts,Admin,,(270)456-6903,2023-06-16
64,Bethany Terry,Lab Technician,,813-472-5868x636,2023-04-12
